,Open Bid_x,Open Bid_y,Long Swap USDCZK,Short Swap USDCZK,open_1
2005-02-21,2.47,1.55,1.7611271213576687e-06,-3.267973856209151e-06,6.3445
2005-02-22,2.49,1.63,1.9102196752626576e-06,-3.017641597028781e-06,6.286
2005-02-23,2.51,1.67,5.698005698005696e-06,-9.749303621169918e-06,6.2406
2005-02-24,2.48,1.68,1.9955300127713936e-06,-3.646803227808816e-06,6.225
2005-02-25,2.52,1.69,2.130681818181817e-06,-3.3179012345679018e-06,6.2386
2005-02-26,2.5,1.58,1.904761904761906e-06,-3.0516431924882617e-06,6.2386
2005-02-27,2.5,1.66,1.904761904761906e-06,-2.981795354676711e-06,6.2386
2005-02-28,2.49,1.57,1.83062718879338e-06,-3.3271432992881453e-06,6.2186
2005-03-01,2.51,1.57,1.6619183285849956e-06,-3.172392448158464e-06,6.2306
2005-03-02,2.47,1.64,5.283381364073007e-06,-9.803921568627451e-06,6.222
2005-03-03,2.47,1.6,1.6810758885686855e-06,-3.3457827575474605e-06,6.2439
2005-03-04,2.52,1.58,2.05176767676768e-06,-3.138731952291273e-06,6.2679
2005-03-05,2.52,1.57,2.05176767676768e-06,-3.138731952291273e-06,6.2679
2005-03-06,2.48,1.57,1.7560664112388271e-06,-3.414028553693358e-06,6.2679
2005-03-07,2.52,1.67,2.130681818181817e-06,-3.043071161048689e-06,6.2263
2005-03-08,2.47,1.67,1.6810758885686855e-06,-3.190164954870835e-06,6.1956
2005-03-09,2.48,1.55,4.549808429118775e-06,-9.543761638733708e-06,6.1318
2005-03-10,2.53,1.68,2.045955303745671e-06,-2.973395931142409e-06,6.1012
2005-03-11,2.5,1.67,1.904761904761906e-06,-3.395061728395062e-06,6.0853
2005-03-12,2.56,1.65,2.340823970037456e-06,-3.395061728395062e-06,6.0853
2005-03-13,2.58,1.65,2.4829298572315366e-06,-3.395061728395062e-06,6.0853
2005-03-14,2.59,1.68,2.78551532033426e-06,-3.4530386740331517e-06,6.0666
2005-03-15,2.63,1.7,2.7548209366391185e-06,-3.7188828172434736e-06,6.1112
2005-03-16,2.66,1.58,1.0245901639344264e-05,-1.329787234042553e-05,6.1387
2005-03-17,2.73,1.66,3.649091450700029e-06,-4.432624113475176e-06,6.0856
2005-03-18,2.7,1.62,3.453453453453452e-06,-4.970760233918125e-06,6.0864
2005-03-19,2.71,1.78,3.5938903863432174e-06,-4.957713619130943e-06,6.0864
2005-03-20,2.73,1.73,3.723562704795949e-06,-4.89766081871345e-06,6.0864
2005-03-21,2.72,1.69,3.509557945041816e-06,-4.872018615474113e-06,6.1327
2005-03-22,2.77,1.65,3.978779840848807e-06,-5.194805194805197e-06,6.1997
2005-03-23,2.78,1.65,1.234567901234567e-05,-1.5091863517060367e-05,6.246
2005-03-24,2.77,1.75,4.052460949012673e-06,-5.266955266955266e-06,6.3074
2005-03-25,2.74,1.73,4.010695187165776e-06,-5.4253472222222224e-06,6.3346
2005-03-26,2.75,1.75,4.296296296296298e-06,-5.62770562770563e-06,6.3346
2005-03-27,2.75,1.75,4.296296296296298e-06,-5.62770562770563e-06,6.3346
2005-03-28,2.74,1.73,4.233511586452764e-06,-5.57002314814815e-06,6.3519
2005-03-29,2.78,1.75,4.409171075837739e-06,-5.613126079447321e-06,6.3456
2005-03-30,2.72,1.68,1.2992831541218636e-05,-1.7015706806282717e-05,6.3352
2005-03-31,2.72,1.69,4.853643966547194e-06,-5.962769051774287e-06,6.3338
2005-04-01,2.78,1.68,5.584950029394474e-06,-6.764536557282671e-06,6.3364
2005-04-02,2.76,1.83,5.3191489361702105e-06,-6.221064814814813e-06,6.3364
2005-04-03,2.76,1.83,5.3191489361702105e-06,-6.221064814814813e-06,6.3364
2005-04-04,2.74,1.7,4.604872251931076e-06,-5.787037037037034e-06,6.3482
2005-04-05,2.77,1.76,5.378720895962273e-06,-6.565656565656568e-06,6.3799
2005-04-06,2.76,1.71,1.706560283687942e-05,-1.9633507853403137e-05,6.3377
2005-04-07,2.69,1.7,4.968383017163508e-06,-6.1565523306948086e-06,6.3399
2005-04-08,2.7,1.81,5.030030030030032e-06,-6.213450292397658e-06,6.3678
2005-04-09,2.76,1.76,5.393026004728133e-06,-6.36574074074074e-06,6.3678
2005-04-10,2.76,1.76,5.393026004728133e-06,-6.36574074074074e-06,6.3678
2005-04-11,2.77,1.73,5.3050397877984095e-06,-6.493506493506492e-06,6.3364
2005-04-12,2.74,1.73,5.050505050505052e-06,-6.510416666666666e-06,6.3143
2005-04-13,2.72,1.74,1.4112903225806458e-05,-1.8542757417102964e-05,6.3398
2005-04-14,2.73,1.69,5.2129877867143286e-06,-6.527415143603136e-06,6.3805
2005-04-15,2.8,1.79,5.847953216374269e-06,-6.3098346388163625e-06,6.431
2005-04-16,2.77,1.73,5.526083112290011e-06,-6.565656565656568e-06,6.431
2005-04-17,2.77,1.73,5.526083112290011e-06,-6.565656565656568e-06,6.431
2005-04-18,2.73,1.69,5.287459040810247e-06,-6.599941978532059e-06,6.3793
2005-04-19,2.72,1.69,5.30167264038232e-06,-6.544502617801046e-06,6.3086
2005-04-20,2.76,1.71,1.6400709219858154e-05,-1.9965277777777782e-05,6.2726
2005-04-21,2.8,1.83,5.847953216374269e-06,-6.766381766381765e-06,6.2355
2005-04-22,2.84,1.8,5.931712962962962e-06,-6.818834338214185e-06,6.2531
2005-04-23,2.86,1.76,6.044905008635579e-06,-7.104290991759021e-06,6.2531
2005-04-24,2.86,1.76,6.044905008635579e-06,-7.051282051282051e-06,6.2531
2005-04-25,2.9,1.78,6.267806267806267e-06,-6.926774102346622e-06,6.2669
2005-04-26,2.9,1.81,6.196581196581196e-06,-7.430555555555557e-06,6.2563
2005-04-27,2.95,1.76,1.9620253164556964e-05,-2.114740368509213e-05,6.2635
2005-04-28,2.99,1.73,8.493455861876915e-06,-9.328358208955222e-06,6.2867
2005-04-29,3.01,1.68,8.658908284843448e-06,-9.488448844884487e-06,6.2993
2005-04-30,3.01,1.73,8.589637018564698e-06,-9.28217821782178e-06,6.2993
2005-05-01,3.01,1.73,8.589637018564698e-06,-9.28217821782178e-06,6.2993
2005-05-02,3.03,1.68,8.684863523573197e-06,-9.373289545703342e-06,6.3219
2005-05-03,2.98,1.7,8.235622557230599e-06,-9.395424836601308e-06,6.3331
2005-05-04,3.01,1.72,2.493765586034912e-05,-2.8255528255528252e-05,6.267
2005-05-05,2.97,1.7,8.256367198432688e-06,-9.41850941850942e-06,6.2675
2005-05-06,2.94,1.51,8.248730964467004e-06,-9.28217821782178e-06,6.2638
2005-05-07,2.99,1.68,8.493455861876915e-06,-9.41850941850942e-06,6.2638
2005-05-08,2.99,1.68,8.493455861876915e-06,-9.41850941850942e-06,6.2638
2005-05-09,3.02,1.53,8.637368711995577e-06,-9.463507625272331e-06,6.3437
2005-05-10,2.98,1.58,8.445002791736461e-06,-9.463507625272331e-06,6.3109
2005-05-11,2.96,1.66,2.504208754208754e-05,-2.8119868637110025e-05,6.2873
2005-05-12,2.98,1.71,8.305415968732552e-06,-9.463507625272331e-06,6.3082
2005-05-13,2.95,1.73,8.29817158931083e-06,-9.143807148794678e-06,6.3842
2005-05-14,2.98,1.74,8.445002791736461e-06,-9.463507625272331e-06,6.3842
2005-05-15,2.98,1.74,8.445002791736461e-06,-9.463507625272331e-06,6.3842
2005-05-16,2.93,1.74,8.199038733389879e-06,-9.143807148794678e-06,6.4156
2005-05-17,2.95,1.73,8.29817158931083e-06,-9.143807148794678e-06,6.4064
2005-05-18,3.0,1.74,2.5625e-05,-2.8119868637110025e-05,6.4194
2005-05-19,2.98,1.78,8.445002791736461e-06,-9.463507625272331e-06,6.3954
2005-05-20,2.98,1.55,8.445002791736461e-06,-9.463507625272331e-06,6.409
2005-05-21,2.96,1.71,8.34736251402918e-06,-9.373289545703342e-06,6.409
2005-05-22,2.96,1.75,8.34736251402918e-06,-9.373289545703342e-06,6.409
2005-05-23,2.96,1.7,8.34736251402918e-06,-9.373289545703342e-06,6.4596
2005-05-24,2.98,1.76,8.305415968732552e-06,-9.59967320261438e-06,6.4605
2005-05-25,2.95,1.77,2.552742616033755e-05,-2.9146141215106745e-05,6.4183
2005-05-26,2.99,1.75,8.493455861876915e-06,-9.644118446074435e-06,6.3676
2005-05-27,2.98,1.75,8.445002791736461e-06,-9.59967320261438e-06,6.3855
2005-05-28,3.01,1.68,8.589637018564698e-06,-9.644118446074435e-06,6.3855
2005-05-29,3.01,1.76,8.589637018564698e-06,-9.644118446074435e-06,6.3855
2005-05-30,2.95,1.67,8.29817158931083e-06,-9.305210918114142e-06,6.3512
2005-05-31,3.01,1.67,8.520365752285947e-06,-9.508285791904374e-06,6.4285
2005-06-01,3.0,1.77,2.5625e-05,-2.8119868637110025e-05,6.4451
2005-06-02,3.01,1.75,8.728179551122194e-06,-9.691509691509694e-06,6.4664
2005-06-03,2.97,1.73,8.39630562552477e-06,-9.463507625272331e-06,6.4408
2005-06-04,3.0,1.69,8.541666666666666e-06,-9.463507625272331e-06,6.4408
2005-06-05,2.97,1.73,8.39630562552477e-06,-9.41850941850942e-06,6.4408
2005-06-06,3.01,1.75,8.658908284843448e-06,-9.623259623259624e-06,6.4452
2005-06-07,2.98,1.78,8.514796203238414e-06,-9.667755991285404e-06,6.4205
2005-06-08,2.98,1.75,2.5544388609715243e-05,-2.7436527436527443e-05,6.3939
2005-06-09,2.98,1.78,8.724176437744277e-06,-9.327342047930284e-06,6.4642
2005-06-10,2.95,1.67,8.438818565400846e-06,-9.396433470507546e-06,6.4561
2005-06-11,2.97,1.72,8.536244052616852e-06,-9.486759486759487e-06,6.4561
2005-06-12,2.97,1.72,8.536244052616852e-06,-9.486759486759487e-06,6.4561
2005-06-13,2.95,1.78,8.438818565400846e-06,-9.190672153635116e-06,6.4827
2005-06-14,2.99,1.76,8.493455861876915e-06,-9.576202118989408e-06,6.4911
2005-06-15,3.0,1.8,2.6041666666666665e-05,-2.9268292682926816e-05,6.527
2005-06-16,3.0,1.75,8.680555555555556e-06,-9.417344173441732e-06,6.5307
2005-06-17,3.01,1.75,8.728179551122194e-06,-9.597188429305216e-06,6.4941
2005-06-18,3.02,1.77,8.775566611387505e-06,-9.552845528455285e-06,6.4941
2005-06-19,3.02,1.77,8.775566611387505e-06,-9.552845528455285e-06,6.4941
2005-06-20,3.03,1.73,8.822718500137851e-06,-9.685230024213074e-06,6.4316
2005-06-21,3.05,1.75,8.916323731138546e-06,-9.772423025435076e-06,6.4771
2005-06-22,3.12,1.77,2.7305825242718443e-05,-3.060821484992102e-05,6.4579
2005-06-23,3.2,1.82,9.523809523809526e-06,-1.0594315245478036e-05,6.4943
2005-06-24,3.22,1.77,9.478672985781994e-06,-1.0480967078189305e-05,6.5999
2005-06-25,3.25,1.79,9.803921568627451e-06,-1.057892004153686e-05,6.5999
2005-06-26,3.25,1.79,9.803921568627451e-06,-1.057892004153686e-05,6.5999
2005-06-27,3.27,1.8,9.888108248763984e-06,-1.0777521170130873e-05,6.5514
2005-06-28,3.21,1.83,9.633148588017948e-06,-1.0698633668471256e-05,6.5309
2005-06-29,3.26,1.85,2.9538341158059472e-05,-3.1442901234567905e-05,6.591
2005-06-30,3.22,1.87,9.676145339652452e-06,-1.0480967078189305e-05,6.5418
2005-07-01,3.3,1.95,1.0012919896640823e-05,-1.10479797979798e-05,6.5394
2005-07-02,3.25,1.89,9.803921568627451e-06,-1.0777521170130873e-05,6.5394
2005-07-03,3.26,1.89,9.846113719353157e-06,-1.065891472868217e-05,6.5394
2005-07-04,3.24,1.89,9.630503144654088e-06,-1.0688684075780847e-05,6.6085
2005-07-05,3.22,1.89,9.676145339652452e-06,-1.0520913523222992e-05,6.6157
2005-07-06,3.23,1.89,2.915681639085895e-05,-3.095794392523364e-05,6.6308
2005-07-07,3.22,1.97,9.676145339652452e-06,-1.0480967078189305e-05,6.6475
2005-07-08,3.2,1.97,9.589947089947087e-06,-1.0440835266821347e-05,6.6151
2005-07-09,3.26,1.92,9.846113719353157e-06,-1.0560675883256528e-05,6.6151
2005-07-10,3.22,1.92,9.74196945760927e-06,-1.080246913580247e-05,6.6151
2005-07-11,3.24,1.88,9.761530398322853e-06,-1.0816692268305171e-05,6.5614
2005-07-12,3.25,1.95,9.803921568627451e-06,-1.0520913523222992e-05,6.5111
2005-07-13,3.22,1.85,2.902843601895736e-05,-3.1442901234567905e-05,6.47
2005-07-14,3.21,1.93,9.43520717867511e-06,-1.0505284867233828e-05,6.5476
2005-07-15,3.26,1.86,9.846113719353157e-06,-1.0480967078189305e-05,6.5616
2005-07-16,3.23,1.9,9.718938796952983e-06,-1.0520913523222992e-05,6.5616
2005-07-17,3.26,1.9,9.846113719353157e-06,-1.0400516795865632e-05,6.5616
2005-07-18,3.2,1.87,9.589947089947087e-06,-1.019607843137255e-05,6.6011
2005-07-19,3.22,1.95,9.544497103738812e-06,-1.060956790123457e-05,6.6658
2005-07-20,3.21,1.97,2.8899445764053845e-05,-3.132250580046405e-05,6.63
2005-07-21,3.22,1.86,9.544497103738812e-06,-1.0480967078189305e-05,6.5682
2005-07-22,3.27,1.88,9.758001561280248e-06,-1.0520913523222992e-05,6.5407
2005-07-23,3.24,1.89,9.630503144654088e-06,-1.0560675883256528e-05,6.5407
2005-07-24,3.24,1.89,9.630503144654088e-06,-1.0560675883256528e-05,6.5407
2005-07-25,3.28,1.98,9.735202492211837e-06,-1.062467997951869e-05,6.5952
2005-07-26,3.23,1.88,9.718938796952983e-06,-1.0520913523222992e-05,6.5657
2005-07-27,3.26,1.97,2.9538341158059472e-05,-3.132250580046405e-05,6.5821
2005-07-28,3.24,1.86,9.761530398322853e-06,-1.0560675883256528e-05,6.5688
2005-07-29,3.31,1.9,9.86078886310905e-06,-1.0678871090770405e-05,6.5234
2005-07-30,3.32,1.9,9.9022633744856e-06,-1.0639653414882772e-05,6.5234
2005-07-31,3.32,1.9,9.9022633744856e-06,-1.0639653414882772e-05,6.5234
2005-08-01,3.32,1.98,9.96656378600823e-06,-1.099798893916541e-05,6.4434
2005-08-02,3.37,1.93,1.017035341978134e-05,-1.0921717171717174e-05,6.4258
2005-08-03,3.38,1.94,3.0631659056316586e-05,-3.3668154761904765e-05,6.4568
2005-08-04,3.44,1.96,1.057307307307307e-05,-1.1319138521781696e-05,6.3696
2005-08-05,3.45,1.84,1.048689138576779e-05,-1.128280598479274e-05,6.371
2005-08-06,3.48,1.88,1.0602678571428571e-05,-1.146288209606987e-05,6.371
2005-08-07,3.45,1.96,1.048689138576779e-05,-1.1355311355311356e-05,6.371
2005-08-08,3.46,1.81,1.052566018933732e-05,-1.1477411477411476e-05,6.3972
2005-08-09,3.45,1.94,1.048689138576779e-05,-1.141636141636142e-05,6.3944
2005-08-10,3.47,1.93,3.1692766592095454e-05,-3.428154631655726e-05,6.3981
2005-08-11,3.45,1.92,1.0611735330836454e-05,-1.166056166056166e-05,6.3661
2005-08-12,3.48,1.78,1.0602678571428571e-05,-1.1380323054331868e-05,6.3284
2005-08-13,3.49,1.94,1.0702796337540216e-05,-1.1538461538461538e-05,6.3284
2005-08-14,3.45,1.94,1.0549313358302124e-05,-1.1538461538461538e-05,6.3284
2005-08-15,3.43,1.8,1.0408828693253071e-05,-1.1344125582536178e-05,6.3618
2005-08-16,3.42,1.85,1.0369532428355958e-05,-1.1307767944936083e-05,6.4426
2005-08-17,3.45,1.85,3.146067415730337e-05,-3.424908424908426e-05,6.4442
2005-08-18,3.45,1.83,1.048689138576779e-05,-1.1355311355311356e-05,6.4565
2005-08-19,3.49,1.9,1.0702796337540216e-05,-1.1599511599511597e-05,6.525
2005-08-20,3.48,1.91,1.0726686507936507e-05,-1.1513157894736846e-05,6.525
2005-08-21,3.47,1.91,1.0688540889883172e-05,-1.154874787259908e-05,6.525
2005-08-22,3.45,1.93,1.0611735330836454e-05,-1.1599511599511597e-05,6.5503
2005-08-23,3.47,1.92,1.0688540889883172e-05,-1.1670313639679068e-05,6.5317
2005-08-24,3.51,1.84,3.233555062823356e-05,-3.482859226841721e-05,6.533
2005-08-25,3.46,1.84,1.052566018933732e-05,-1.1513157894736846e-05,6.4528
2005-08-26,3.52,1.82,1.0754670599803344e-05,-1.158418243571082e-05,6.4467
2005-08-27,3.51,1.82,1.0716925351071691e-05,-1.1619462599854754e-05,6.4467
2005-08-28,3.51,1.82,1.0716925351071691e-05,-1.1619462599854754e-05,6.4467
2005-08-29,3.53,1.9,1.0792249202845226e-05,-1.1619462599854754e-05,6.4284
2005-08-30,3.47,1.81,1.0564255530698485e-05,-1.154874787259908e-05,6.487
2005-08-31,3.51,1.82,3.2150776053215074e-05,-3.446389496717724e-05,6.4612
2005-09-01,3.46,1.9,1.052566018933732e-05,-1.1513157894736846e-05,6.3834
2005-09-02,3.49,1.76,1.0764662212323682e-05,-1.1740498668603244e-05,6.2698
2005-09-03,3.5,1.77,1.0679012345679011e-05,-1.158418243571082e-05,6.2698
2005-09-04,3.5,1.77,1.0679012345679011e-05,-1.158418243571082e-05,6.2698
2005-09-05,3.5,1.8,1.0679012345679011e-05,-1.1513157894736846e-05,6.1998
2005-09-06,3.46,1.82,1.0338814150473345e-05,-1.1452241715399617e-05,6.269
2005-09-07,3.51,1.82,3.19660014781966e-05,-3.4676833696441545e-05,6.2669
2005-09-08,3.52,1.86,1.0754670599803344e-05,-1.1664261664261666e-05,6.2758
2005-09-09,3.54,1.91,1.0829662261380324e-05,-1.1733716475095787e-05,6.2693
2005-09-10,3.58,1.81,1.0977680737506065e-05,-1.1802575107296138e-05,6.2693
2005-09-11,3.58,1.81,1.0977680737506065e-05,-1.1802575107296138e-05,6.2693
2005-09-12,3.53,1.82,1.0792249202845226e-05,-1.1594202898550726e-05,6.3089
2005-09-13,3.59,1.92,1.1135318324860807e-05,-1.2082444918265813e-05,6.3466
2005-09-14,3.62,1.9,3.373015873015873e-05,-3.601694915254239e-05,6.3539
2005-09-15,3.69,1.93,1.1490168206586118e-05,-1.2236140106703782e-05,6.3716
2005-09-16,3.69,1.95,1.1430940535418146e-05,-1.2352122477383436e-05,6.3523
2005-09-17,3.71,1.94,1.1500353857041755e-05,-1.210526315789474e-05,6.3523
2005-09-18,3.68,1.89,1.1396011396011395e-05,-1.2203626220362622e-05,6.3523
2005-09-19,3.72,1.9,1.1475988700564974e-05,-1.235851235851236e-05,6.3901
2005-09-20,3.69,1.93,1.1371712864250174e-05,-1.2236140106703782e-05,6.3886
2005-09-21,3.68,1.9,3.40099715099715e-05,-3.661087866108786e-05,6.3981
2005-09-22,3.76,1.93,1.1612978524743228e-05,-1.242840778923253e-05,6.3716
2005-09-23,3.74,1.89,1.1544772620721988e-05,-1.236484932137106e-05,6.4024
2005-09-24,3.78,1.96,1.1622501162250112e-05,-1.2332872291378518e-05,6.4024
2005-09-25,3.78,1.93,1.1680613668061367e-05,-1.2390502535730751e-05,6.4024
2005-09-26,3.74,1.97,1.1544772620721988e-05,-1.2454086317722682e-05,6.4765
2005-09-27,3.73,1.9,1.1569180173831338e-05,-1.2249827467218767e-05,6.4941
2005-09-28,3.76,2.0,3.501400560224091e-05,-3.737997256515775e-05,6.496
2005-09-29,3.73,1.98,1.139299976509279e-05,-1.2307338394294917e-05,6.4775
2005-09-30,3.71,1.99,1.1441377683415902e-05,-1.2300762300762304e-05,6.5092
2005-10-01,3.76,2.02,1.1612978524743228e-05,-1.2300762300762304e-05,6.5092
2005-10-02,3.75,2.02,1.1578947368421052e-05,-1.242840778923253e-05,6.5092
2005-10-03,3.71,2.05,1.1382401509790045e-05,-1.2300762300762304e-05,6.5918
2005-10-04,3.71,2.03,1.1500353857041755e-05,-1.2069762069762073e-05,6.5993
2005-10-05,3.75,2.2,3.491228070175438e-05,-3.655578655578656e-05,6.6108
2005-10-06,3.72,2.19,1.1534839924670436e-05,-1.2217611802674043e-05,6.5398
2005-10-07,3.74,2.12,1.1603375527426164e-05,-1.238425925925926e-05,6.49
2005-10-08,3.74,2.18,1.1603375527426164e-05,-1.2448132780082988e-05,6.49
2005-10-09,3.74,2.18,1.1603375527426164e-05,-1.2448132780082988e-05,6.49
2005-10-10,3.73,2.06,1.1569180173831338e-05,-1.2511478420569328e-05,6.523
2005-10-11,3.75,2.12,1.169590643274854e-05,-1.2474012474012474e-05,6.5327
2005-10-12,3.71,2.08,3.467799009200283e-05,-3.742203742203742e-05,6.5304
2005-10-13,3.72,2.05,1.1475988700564974e-05,-1.2217611802674043e-05,6.5169
2005-10-14,3.72,2.03,1.1593691148775898e-05,-1.2505763024435224e-05,6.5048
2005-10-15,3.76,1.92,1.1729691876750698e-05,-1.2281910009182734e-05,6.5048
2005-10-16,3.76,1.92,1.1729691876750698e-05,-1.2281910009182734e-05,6.5048
2005-10-17,3.71,1.97,1.1441377683415902e-05,-1.235851235851236e-05,6.4501
2005-10-18,3.71,1.94,1.1441377683415902e-05,-1.212751212751213e-05,6.4993
2005-10-19,3.73,2.0,3.470754052149402e-05,-3.695955369595536e-05,6.55
2005-10-20,3.75,1.86,1.175438596491228e-05,-1.2500000000000002e-05,6.5161
2005-10-21,3.83,2.05,1.1962272831838048e-05,-1.284651791751183e-05,6.4626
2005-10-22,3.87,2.05,1.1978097193702943e-05,-1.255940257976918e-05,6.4626
2005-10-23,3.87,2.05,1.1978097193702943e-05,-1.255940257976918e-05,6.4626
2005-10-24,3.85,2.05,1.2027491408934703e-05,-1.2570145903479238e-05,6.534
2005-10-25,3.89,2.08,1.198591229266076e-05,-1.2677484787018255e-05,6.5361
2005-10-26,3.93,2.08,3.583502366463826e-05,-3.7894030851777344e-05,6.4574
2005-10-27,3.96,2.08,1.1872759856630829e-05,-1.273605621431708e-05,6.4465
2005-10-28,4.0,2.08,1.1111111111111112e-05,-1.1551155115511547e-05,6.4281
2005-10-29,4.0,2.1,1.1111111111111112e-05,-1.1646981627296583e-05,6.4281
2005-10-30,3.96,2.1,1.0976702508960571e-05,-1.1583223539745277e-05,6.4281
2005-10-31,4.02,2.1,1.123284639220894e-05,-1.1975065616797904e-05,6.4894
2005-11-01,4.03,2.1,1.1044842058758563e-05,-1.1583223539745277e-05,6.4912
2005-11-02,3.96,2.15,3.242607526881721e-05,-3.507905138339921e-05,6.4663
2005-11-03,3.97,2.15,1.084283478649676e-05,-1.1615165461319308e-05,6.4492
2005-11-04,4.01,2.2,1.0978043912175647e-05,-1.171023965141612e-05,6.5305
2005-11-05,4.0,2.2,1.0944444444444444e-05,-1.1646981627296583e-05,6.5305
2005-11-06,4.0,2.2,1.0944444444444444e-05,-1.1646981627296583e-05,6.5305
2005-11-07,3.97,2.2,1.0786943885535436e-05,-1.1669953977646286e-05,6.5911
2005-11-08,3.97,2.2,1.095461658841941e-05,-1.1779531010300242e-05,6.6377
2005-11-09,3.97,2.25,3.269617706237425e-05,-3.500986193293886e-05,6.61
2005-11-10,3.97,2.25,1.0786943885535436e-05,-1.1560376944992333e-05,6.5793
2005-11-11,3.97,2.3,1.0786943885535436e-05,-1.1560376944992333e-05,6.5959
2005-11-12,4.0,2.23,1.0944444444444444e-05,-1.1646981627296583e-05,6.5959
2005-11-13,3.98,2.28,1.0876840696117809e-05,-1.1646981627296583e-05,6.5959
2005-11-14,3.96,2.24,1.075268817204301e-05,-1.1638120333772504e-05,6.5803
2005-11-15,3.97,2.3,1.0898725687458084e-05,-1.1669953977646286e-05,6.6493
2005-11-16,3.96,2.28,3.242607526881721e-05,-3.474967061923583e-05,6.6702
